phylum_a	phylum_b	mya	source
Choanoflagellatea	Crustacea		unknown
Choanoflagellatea	Mollusca		unknown
Choanoflagellatea	Nematoda		unknown
Choanoflagellatea	Brachiopoda		unknown
Choanoflagellatea	Myriapoda		unknown
Choanoflagellatea	Chelicerata		unknown
Choanoflagellatea	Priapulida		unknown
Choanoflagellatea	Insecta		unknown
Choanoflagellatea	Echinodermata		unknown
Choanoflagellatea	Hemichordata		unknown
Viridiplantae	Ctenophora		unknown
Choanoflagellatea	Cephalochordata		unknown
Viridiplantae	Platyhelminthes		unknown
Viridiplantae	Cnidaria		unknown
Viridiplantae	Placozoa		unknown
Viridiplantae	Brachiopoda		unknown
Viridiplantae	Annelida		unknown
Viridiplantae	Mollusca		unknown
Viridiplantae	Nematoda		unknown
Viridiplantae	Priapulida		unknown
Viridiplantae	Crustacea		unknown
Viridiplantae	Myriapoda		unknown
Viridiplantae	Echinodermata		unknown
Viridiplantae	Cephalochordata		unknown
Viridiplantae	Hemichordata		unknown
Viridiplantae	Insecta		unknown
Viridiplantae	Chelicerata		unknown
Ctenophora	Placozoa		unknown
Ctenophora	Platyhelminthes		unknown
Ctenophora	Cnidaria		unknown
Ctenophora	Annelida		unknown
Ctenophora	Nematoda		unknown
Ctenophora	Brachiopoda		unknown
Ctenophora	Priapulida		unknown
Ctenophora	Myriapoda		unknown
Ctenophora	Crustacea		unknown
Ctenophora	Mollusca		unknown
Ctenophora	Echinodermata		unknown
Placozoa	Mollusca		unknown
Placozoa	Cnidaria		unknown
Placozoa	Annelida		unknown
Ctenophora	Cephalochordata		unknown
Ctenophora	Hemichordata		unknown
Placozoa	Platyhelminthes		unknown
Ctenophora	Chelicerata		unknown
Ctenophora	Insecta		unknown
Placozoa	Brachiopoda		unknown
Placozoa	Priapulida		unknown
Placozoa	Nematoda		unknown
Placozoa	Echinodermata		unknown
Placozoa	Chelicerata		unknown
Placozoa	Crustacea		unknown
Placozoa	Myriapoda		unknown
Placozoa	Insecta		unknown
Cnidaria	Platyhelminthes		unknown
Placozoa	Hemichordata		unknown
Placozoa	Cephalochordata		unknown
Cnidaria	Crustacea		unknown
Cnidaria	Nematoda		unknown
Cnidaria	Insecta		unknown
Cnidaria	Chelicerata		unknown
Cnidaria	Echinodermata		unknown
Cnidaria	Mollusca		unknown
Cnidaria	Annelida		unknown
Cnidaria	Brachiopoda		unknown
Cnidaria	Priapulida		unknown
Cnidaria	Myriapoda		unknown
Platyhelminthes	Annelida	550.0	backbone
Cnidaria	Cephalochordata		unknown
Platyhelminthes	Priapulida		unknown
Platyhelminthes	Brachiopoda		unknown
Platyhelminthes	Mollusca		unknown
Cnidaria	Hemichordata		unknown
Platyhelminthes	Chelicerata		unknown
Platyhelminthes	Crustacea		unknown
Platyhelminthes	Nematoda		unknown
Platyhelminthes	Myriapoda		unknown
Annelida	Brachiopoda		unknown
Platyhelminthes	Insecta		unknown
Platyhelminthes	Echinodermata		unknown
Annelida	Crustacea		unknown
Annelida	Priapulida		unknown
Platyhelminthes	Hemichordata		unknown
Platyhelminthes	Cephalochordata		unknown
Annelida	Mollusca		unknown
Annelida	Nematoda		unknown
Annelida	Myriapoda		unknown
Annelida	Insecta		unknown
Annelida	Chelicerata		unknown
Brachiopoda	Nematoda		unknown
Brachiopoda	Mollusca		unknown
Annelida	Echinodermata		unknown
Brachiopoda	Myriapoda		unknown
Brachiopoda	Crustacea		unknown
Annelida	Cephalochordata		unknown
Brachiopoda	Priapulida		unknown
Annelida	Hemichordata		unknown
Brachiopoda	Insecta		unknown
Mollusca	Nematoda		unknown
Brachiopoda	Hemichordata		unknown
Brachiopoda	Chelicerata		unknown
Brachiopoda	Echinodermata		unknown
Brachiopoda	Cephalochordata		unknown
Mollusca	Crustacea		unknown
Mollusca	Myriapoda		unknown
Mollusca	Chelicerata		unknown
Mollusca	Priapulida		unknown
Mollusca	Insecta		unknown
Mollusca	Cephalochordata		unknown
Mollusca	Hemichordata		unknown
Nematoda	Insecta		unknown
Mollusca	Echinodermata		unknown
Nematoda	Echinodermata		unknown
Nematoda	Priapulida	540.0	backbone
Nematoda	Crustacea		unknown
Nematoda	Chelicerata		unknown
Nematoda	Myriapoda		unknown
Nematoda	Hemichordata		unknown
Priapulida	Myriapoda		unknown
Priapulida	Crustacea		unknown
Nematoda	Cephalochordata		unknown
Priapulida	Echinodermata		unknown
Priapulida	Chelicerata		unknown
Priapulida	Hemichordata		unknown
Priapulida	Insecta		unknown
Priapulida	Cephalochordata		unknown
Crustacea	Myriapoda	450.0	backbone
Crustacea	Chelicerata	500.0	backbone
Crustacea	Echinodermata		unknown
Crustacea	Insecta	450.0	backbone
Crustacea	Cephalochordata		unknown
Myriapoda	Chelicerata		unknown
Crustacea	Hemichordata		unknown
Myriapoda	Echinodermata		unknown
Myriapoda	Insecta	440.0	backbone
Myriapoda	Cephalochordata		unknown
Myriapoda	Hemichordata		unknown
Chelicerata	Hemichordata		unknown
Echinodermata	Hemichordata	500.0	backbone
Chelicerata	Echinodermata		unknown
Insecta	Hemichordata		unknown
Insecta	Cephalochordata		unknown
Echinodermata	Cephalochordata	530.0	backbone
Insecta	Echinodermata		unknown
Hemichordata	Cephalochordata	520.0	backbone
Chelicerata	Insecta	490.0	backbone
Chelicerata	Cephalochordata		unknown
