species_key	display_name	phylum	n_proteins_with_lcr	n_proteins_with_terminal_lcr	pct_proteins_terminal	binomial_p	significant
argiope_bruennichi_gca947563725v1rs	Argiope bruennichi	Chelicerata	565	130	23.01	0.0	True
aristolochia_fimbriata	Aristolochia fimbriata	Viridiplantae	1235	241	19.51	0.0	True
ascaris_suum	Ascaris suum	Nematoda	398	81	20.35	0.0	True
asparagus_officinalis	Asparagus officinalis	Viridiplantae	1873	478	25.52	0.0	True
aspergillus_fumigatus	Aspergillus fumigatus	Fungi	349	82	23.5	0.0	True
aspergillus_nidulans	Aspergillus nidulans	Fungi	325	63	19.38	0.0	True
asterias_rubens_gca902459465v3	Asterias rubens	Echinodermata	687	136	19.8	0.0	True
athalia_rosae_gca917208135v1	Athalia rosae	Insecta	703	135	19.2	0.0	True
atta_cephalotes	Atta cephalotes	Insecta	712	127	17.84	0.0	True
aureococcus_anophagefferens_gca_000186865	Aureococcus anophagefferens	Protist	573	132	23.04	0.0	True
avena_atlantica_gca910589765v1cm	Avena atlantica CC7277	Viridiplantae	2980	847	28.42	0.0	True
avena_byzantina_gca910574625v1cm	Avena byzantina PI258586	Viridiplantae	7915	2330	29.44	0.0	True
avena_eriantha_gca910589775v1cm	Avena eriantha BYU132	Viridiplantae	2291	707	30.86	0.0	True
avena_insularis_gca910574615v1cm	Avena insularis BYU209	Viridiplantae	5591	1622	29.01	0.0	True
avena_longiglumis_gca910589755v1cm	Avena longiglumis CN58138	Viridiplantae	3520	871	24.74	0.0	True
avena_occidentalis_gca947310975v1cm	Avena occidentalis CN25955	Viridiplantae	8433	2332	27.65	0.0	True
avena_sativa_gca947310255v1cm	Avena magna x Avena longiglumis	Viridiplantae	8940	2402	26.87	0.0	True
avena_sativa_sang	Avena sativa Sang	Viridiplantae	6786	2099	30.93	0.0	True
avena_sterilis_gca947313515v1cm	Avena sterilis TN4	Viridiplantae	8854	2486	28.08	0.0	True
azotobacter_vinelandii_dj_gca_000021045	Azotobacter vinelandii DJ	Bacteria	39	9	23.08	0.013148	True
babesia_bigemina_gca_000981445	Babesia bigemina str. Bond	Apicomplexa	89	12	13.48	0.176643	False
babesia_bovis	Babesia bovis T2Bo	Apicomplexa	54	14	25.93	0.000673	True
babesia_ovata_gca_002897235	Babesia ovata str. Miyake	Apicomplexa	77	14	18.18	0.019722	True
babesia_sp_xinjiang_gca_002095265	Babesia sp. Xinjiang	Apicomplexa	54	11	20.37	0.016568	True
bacillus_subtilis	Bacillus subtilis	Bacteria	29	5	17.24	0.158444	False
bacteroides_thetaiotaomicron_vpi_5482_gca_000011065	Bacteroides thetaiotaomicron VPI-5482	Bacteria	49	17	34.69	3e-06	True
bactrocera_dorsalis_gca023373825v1rs	Bactrocera dorsalis	Insecta	1137	240	21.11	0.0	True
bactrocera_latifrons_gca001853355v1	Bactrocera latifrons	Insecta	1070	207	19.35	0.0	True
bactrocera_neohumeralis_gca024586455v2rs	Bactrocera neohumeralis	Insecta	1099	219	19.93	0.0	True
bactrocera_oleae_gca042242935v1rs	Bactrocera oleae	Insecta	619	110	17.77	0.0	True
bactrocera_tryoni_gca016617805v2	Bactrocera tryoni	Insecta	1087	208	19.14	0.0	True
bartonella_henselae_str_houston_1_gca_000046705	Bartonella henselae str. Houston-1	Bacteria	15	4	26.67	0.055556	False
belgica_antarctica	Belgica antarctica	Insecta	632	107	16.93	0.0	True
